"","locs2","Column","dates","notice","status","landref","locs","document","dates2","landref_cl","monthlies","duplic","lat","long","county","monthcats","vars"
"3135","Machakos",2847,2015-08-14,"GAZETTENOTICENO5822","Lost","Mavoko/ Town Block 28/ 122","district of Machakos","Land Title Deed","14August2015","Mavoko/Town Block 28/122","Aug2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3136","Machakos",2848,2015-08-14,"GAZETTENOTICENO5822","Lost","Mavoko/ Town Block 3( Waswa)/ 3748","district of Machakos","Land Title Deed","14August2015","Mavoko/Town Block 3( Waswa)/3748","Aug2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3137","Machakos",2907,2014-11-14,"GAZETTENOTICENO8179-8268","Lost","Mavoko/ Town Block 3( Waswa)/ 4193","district of Machakos","Land Title Deed","14November2014","Mavoko/Town Block 3( Waswa)/4193","Nov2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",1
"3138","Machakos",3744,2016-02-19,"GAZETTENOTICENO981","Lost","Mavoko/ Town Block 3/ 10609","district of Machakos","Land Title Deed","19February2016","Mavoko/Town Block 3/10609","Feb2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3139","Machakos",2114,2014-07-11,"GAZETTENOTICENO4652","Unknown","Mavoko/ Town Block 3/ 107","district of Machakos","Land Title Deed","11July2014","Mavoko/Town Block 3/107","Jul2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",0
"3140","Machakos",4185,2015-11-20,"GAZETTENOTICENO8633","Lost","Mavoko/ Town Block 3/ 10910","district of Machakos","Land Title Deed","20November2015","Mavoko/Town Block 3/10910","Nov2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3141","Machakos",6587,2015-12-31,"GAZETTENOTICENO9592","Lost","Mavoko/ Town Block 3/ 11199","district of Machakos","Land Title Deed","31December2015","Mavoko/Town Block 3/11199","Dec2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3142","Machakos",1869,2015-04-10,"GAZETTENOTICENO2340","Lost","Mavoko/ Town Block 3/ 11735","district of Machakos","Land Title Deed","10April2015","Mavoko/Town Block 3/11735","Apr2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3143","Machakos",6638,2015-07-31,"GAZETTENOTICENO5549-5636","Lost","Mavoko/ Town Block 3/ 1203","district of Machakos","Land Title Deed","31July2015","Mavoko/Town Block 3/1203","Jul2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3144","Machakos",3570,2016-03-18,"GAZETTENOTICENO1785","Lost","Mavoko/ Town Block 3/ 12266","district of Machakos","Land Title Deed","18March2016","Mavoko/Town Block 3/12266","Mar2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3145","Machakos",2248,2015-09-11,"GAZETTENOTICENO6619-6690","Unknown","Mavoko/ Town Block 3/ 1371","district of Machakos","other","11September2015","Mavoko/Town Block 3/1371","Sep2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",0
"3146","Machakos",4613,2014-08-22,"GAZETTENOTICENO5741","Lost","Mavoko/ Town Block 3/ 17431","district of Machakos","Land Title Deed","22August2014","Mavoko/Town Block 3/17431","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3147","Machakos",144,2014-08-01,"GAZETTENOTICENO5305","Lost","Mavoko/ Town Block 3/ 1956","district of Machakos","Land Title Deed","01August2014","Mavoko/Town Block 3/1956","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3148","Machakos",1240,2015-08-07,"GAZETTENOTICENO5689-5767","Lost","Mavoko/ Town Block 3/ 2015","district of Machakos","Land Title Deed","07August2015","Mavoko/Town Block 3/2015","Aug2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3149","Machakos",5840,2015-03-27,"GAZETTENOTICENO1997","Unknown","Mavoko/ Town Block 3/ 2099 and 3/ 704","district of Machakos","Land Title Deed","27March2015","Mavoko/Town Block 3/2099 and 3/704","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",0
"3150","Machakos",5426,2014-07-25,"GAZETTENOTICENO5068","Lost","Mavoko/ Town Block 3/ 2143","district of Machakos","Land Title Deed","25July2014","Mavoko/Town Block 3/2143","Jul2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3151","Machakos",4616,2014-08-22,"GAZETTENOTICENO5744","Lost","Mavoko/ Town Block 3/ 22198","district of Machakos","Land Title Deed","22August2014","Mavoko/Town Block 3/22198","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3152","Machakos",4614,2014-08-22,"GAZETTENOTICENO5742","Lost","Mavoko/ Town Block 3/ 22199","district of Machakos","Land Title Deed","22August2014","Mavoko/Town Block 3/22199","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3153","Machakos",4615,2014-08-22,"GAZETTENOTICENO5743","Lost","Mavoko/ Town Block 3/ 22201","district of Machakos","Land Title Deed","22August2014","Mavoko/Town Block 3/22201","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3154","Machakos",412,2015-07-03,"GAZETTENOTICENO4763","Lost","Mavoko/ Town Block 3/ 2288","district of Machakos","Land Title Deed","03July2015","Mavoko/Town Block 3/2288","Jul2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3155","Machakos",5842,2015-03-27,"GAZETTENOTICENO1997","Lost","Mavoko/ Town Block 3/ 2366","district of Machakos","Land Title Deed","27March2015","Mavoko/Town Block 3/2366","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3156","Machakos",575,2016-03-04,"GAZETTENOTICENO1375","Lost","Mavoko/ Town Block 3/ 2689","district of Machakos","Land Title Deed","04March2016","Mavoko/Town Block 3/2689","Mar2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3157","Machakos",5529,2015-09-25,"GAZETTENOTICENO7081","Lost","Mavoko/ Town Block 3/ 2898","district of Machakos","Land Title Deed","25September2015","Mavoko/Town Block 3/2898","Sep2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3158","Machakos",3939,2015-02-20,"GAZETTENOTICENO1103","Lost","Mavoko/ Town Block 3/ 29156","district of Machakos","Land Title Deed","20February2015","Mavoko/Town Block 3/29156","Feb2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3159","Machakos",6547,2015-10-30,"GAZETTENOTICENO8132","Lost","Mavoko/ Town Block 3/ 30848","district of Machakos","Land Title Deed","30October2015","Mavoko/Town Block 3/30848","Oct2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3160","Machakos",1502,2016-04-08,"GAZETTENOTICENO2362","Unknown","Mavoko/ Town Block 3/ 33176 and 33177","district of Machakos","Land Title Deed","08April2016","Mavoko/Town Block 3/33176 and 33177","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",0
"3161","Machakos",3157,2015-05-15,"GAZETTENOTICENO3322","Lost","Mavoko/ Town Block 3/ 33251","district of Machakos","Land Title Deed","15May2015","Mavoko/Town Block 3/33251","May2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3162","Machakos",740,2016-02-05,"GAZETTENOTICENO624","Lost","Mavoko/ Town Block 3/ 3443","district of Machakos","Land Title Deed","05February2016","Mavoko/Town Block 3/3443","Feb2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3163","Machakos",71,2016-04-01,"GAZETTENOTICENO2147","Lost","Mavoko/ Town Block 3/ 4827","district of Machakos","Land Title Deed","01April2016","Mavoko/Town Block 3/4827","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3164","Machakos",3406,2014-10-17,"GAZETTENOTICENO7296","Unknown","Mavoko/ Town Block 3/ 6054 and 6055","district of Machakos","Land Title Deed","17October2014","Mavoko/Town Block 3/6054 and 6055","Oct2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",0
"3165","Machakos",145,2014-08-01,"GAZETTENOTICENO5306","Lost","Mavoko/ Town Block 3/ 6379","district of Machakos","Land Title Deed","01August2014","Mavoko/Town Block 3/6379","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3166","Machakos",1624,2015-05-08,"GAZETTENOTICENO3151-3261","Unknown","Mavoko/ Town Block 3/ 6540","district of Machakos","Land Title Deed","08May2015","Mavoko/Town Block 3/6540","May2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",0
"3167","Machakos",6106,2016-04-29,"GAZETTENOTICENO2908","Lost","Mavoko/ Town Block 3/ 7598","district of Machakos","Land Title Deed","29April2016","Mavoko/Town Block 3/7598","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3168","Machakos",533,2014-07-04,"GAZETTENOTICENO4518","Lost","Mavoko/ Town Block 3/ 9054","district of Machakos","Land Title Deed","04July2014","Mavoko/Town Block 3/9054","Jul2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3169","Machakos",3299,2015-07-17,"GAZETTENOTICENO5179","Lost","Mavoko/ Town Block 3/ 911","district of Machakos","Land Title Deed","17July2015","Mavoko/Town Block 3/911","Jul2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3170","Machakos",4350,2015-08-21,"GAZETTENOTICENO6101-6108","Lost","Mavoko/ Town Block 3/ 99","district of Machakos","Land Title Deed","21August2015","Mavoko/Town Block 3/99","Aug2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3171","Machakos",4699,2016-01-22,"GAZETTENOTICENO266","Lost","Mavoko/ Town Block 35/ 166","district of Machakos","Land Title Deed","22January2016","Mavoko/Town Block 35/166","Jan2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3172","Machakos",5841,2015-03-27,"GAZETTENOTICENO1997","Lost","Mavoko/ Town Block 35/ 245","district of Machakos","Land Title Deed","27March2015","Mavoko/Town Block 35/245","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3173","Machakos",2247,2015-09-11,"GAZETTENOTICENO6619-6690","Lost","Mavoko/ Town Block 35/ 395","district of Machakos","Land Title Deed","11September2015","Mavoko/Town Block 35/395","Sep2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3174","Machakos",262,2015-01-02,"GAZETTENOTICENO9-62","Lost","Mavoko/ Town Block 48/ 31","district of Machakos","Land Title Deed","02January2015","Mavoko/Town Block 48/31","Jan2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3175","Machakos",4702,2016-01-22,"GAZETTENOTICENO269","Lost","Mavoko/ Town Block 64( Gimu)/ 198","district of Machakos","Land Title Deed","22January2016","Mavoko/Town Block 64( Gimu)/198","Jan2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3176","Machakos",3039,2016-04-15,"GAZETTENOTICENO2514","Lost","Mavoko/ Township Block 3( Waswa)/ 4017","district of Machakos","Land Title Deed","15April2016","Mavoko/Township Block 3( Waswa)/4017","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3177","Machakos",2499,2014-09-12,"GAZETTENOTICENO6323-6375","Unknown","Mbiuni/ Kabaa/ 416 and 426","district of Machakos","Land Title Deed","12September2014","Mbiuni/Kabaa/416 and 426","Sep2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",0
"3178","Machakos",6477,2014-05-30,"GAZETTENOTICENO3616","Unknown","Mbiuni/ Kabaa/ 788 and 805","district of Machakos","Land Title Deed","30May2014","Mbiuni/Kabaa/788 and 805","May2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",0
"3179","Machakos",3198,2015-01-16,"GAZETTENOTICENO194-245","Lost","Mitaboni/ Kathiani/ 399","district of Machakos","Land Title Deed","16January2015","Mitaboni/Kathiani/399","Jan2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3180","Machakos",5339,2014-10-24,"GAZETTENOTICENO7604","Lost","Mitaboni/ Mutituni/ 1779","district of Machakos","Land Title Deed","24October2014","Mitaboni/Mutituni/1779","Oct2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",1
"3181","Machakos",1598,2016-01-08,"GAZETTENOTICENO2","Lost","Mumbuni/ Kasinga/ 1905","district of Machakos","Land Title Deed","08January2016","Mumbuni/Kasinga/1905","Jan2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3182","Machakos",5631,2014-09-26,"GAZETTENOTICENO6726-6784","Lost","Mumbuni/ Kasinga/ 2585","district of Machakos","Land Title Deed","26September2014","Mumbuni/Kasinga/2585","Sep2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",1
"3183","Machakos",2497,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","Muputi/ Kiima Kimwe/ 148","district of Machakos","Land Title Deed","12September2014","Muputi/Kiima Kimwe/148","Sep2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",1
"3184","Machakos",72,2016-04-01,"GAZETTENOTICENO2148","Lost","Muputi/ Kiima Kimwe/ 1824","district of Machakos","Land Title Deed","01April2016","Muputi/Kiima Kimwe/1824","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3185","Machakos",3102,2014-08-15,"GAZETTENOTICENO5643","Lost","Muputi/ Kiima Kimwe/ 2102","district of Machakos","Land Title Deed","15August2014","Muputi/Kiima Kimwe/2102","Aug2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",1
"3186","Machakos",6548,2015-10-30,"GAZETTENOTICENO8133","Lost","Muputi/ Kiima Kimwe/ 2611","district of Machakos","Land Title Deed","30October2015","Muputi/Kiima Kimwe/2611","Oct2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3187","Machakos",576,2016-03-04,"GAZETTENOTICENO1376","Lost","Muputi/ Kiima Kimwe/ 2819","district of Machakos","Land Title Deed","04March2016","Muputi/Kiima Kimwe/2819","Mar2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3188","Machakos",216,2015-04-02,"GAZETTENOTICENO2125-2187","Lost","Muputi/ Kiima Kimwe/ 2893","district of Machakos","Land Title Deed","02April2015","Muputi/Kiima Kimwe/2893","Apr2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3189","Machakos",4551,2016-04-22,"GAZETTENOTICENO2759","Lost","Muputi/ Kiima Kimwe/ 3322","district of Machakos","Land Title Deed","22April2016","Muputi/Kiima Kimwe/3322","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3190","Machakos",4072,2015-03-20,"GAZETTENOTICENO1815-1908","Lost","Muputi/ Kiima Kimwe/ 3370","district of Machakos","Land Title Deed","20March2015","Muputi/Kiima Kimwe/3370","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3191","Machakos",574,2016-03-04,"GAZETTENOTICENO1374","Lost","Muputi/ Kiima Kimwe/ 3427","district of Machakos","Land Title Deed","04March2016","Muputi/Kiima Kimwe/3427","Mar2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3192","Machakos",3298,2015-07-17,"GAZETTENOTICENO5171","Lost","Muputi/ Kiima Kimwe/ 46","district of Machakos","Land Title Deed","17July2015","Muputi/Kiima Kimwe/46","Jul2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3193","Machakos",4070,2015-03-20,"GAZETTENOTICENO1815-1908","Lost","Muthetheni/ Utithini/ 947","district of Machakos","Land Title Deed","20March2015","Muthetheni/Utithini/947","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3194","Machakos",838,2015-06-05,"GAZETTENOTICENO4019-4067","Lost","Muthetheni/ Utithini/ 948","district of Machakos","Land Title Deed","05June2015","Muthetheni/Utithini/948","Jun2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3195","Machakos",6295,2015-05-29,"GAZETTENOTICENO3842","Lost","Muvuti/ Kaani/ 1586","district of Machakos","Land Title Deed","29May2015","Muvuti/Kaani/1586","May2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3196","Machakos",4351,2015-08-21,"GAZETTENOTICENO6109-6116","Lost","Muvuti/ Kiima Kimwe/ 164","district of Machakos","Land Title Deed","21August2015","Muvuti/Kiima Kimwe/164","Aug2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3197","Machakos",3158,2015-05-15,"GAZETTENOTICENO3322","Unknown","Mwala/ Kyawango/ 292 and 287","district of Machakos","Land Title Deed","15May2015","Mwala/Kyawango/292 and 287","May2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",0
"3198","Machakos",6292,2015-05-29,"GAZETTENOTICENO3842","Lost","Mwala/ Maau- Eli/ 128","district of Machakos","Land Title Deed","29May2015","Mwala/Maau- Eli/128","May2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3199","Machakos",1365,2014-11-07,"GAZETTENOTICENO8027","Lost","Ndalani/ Mavaloni Block 1/ 1069","district of Machakos","Land Title Deed","07November2014","Ndalani/Mavaloni Block 1/1069","Nov2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",1
"3200","Machakos",6639,2015-07-31,"GAZETTENOTICENO5549-5636","Lost","Ndalani/ Mavoloni Block I/ 1009","district of Machakos","Land Title Deed","31July2015","Ndalani/Mavoloni Block I/1009","Jul2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3201","Machakos",4548,2016-04-22,"GAZETTENOTICENO2756","Lost","Ndalani/ Mavoloni Block I/ 317","district of Machakos","Land Title Deed","22April2016","Ndalani/Mavoloni Block I/317","Apr2016",TRUE,-1.5176837,37.2634146,"Machakos","Jan - May, 2016",1
"3202","Machakos",2640,2014-06-13,"GAZETTENOTICENO3939","Unknown","Ndalani/ Ndalani Block 1/ 940","district of Machakos","Land Title Deed","13June2014","Ndalani/Ndalani Block 1/940","Jun2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",0
"3203","Machakos",5839,2015-03-27,"GAZETTENOTICENO1997","Lost","Ndalani/ Ndalani Block I/ 1218","district of Machakos","Land Title Deed","27March2015","Ndalani/Ndalani Block I/1218","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3204","Machakos",4349,2015-08-21,"GAZETTENOTICENO6101-6108","Lost","Ndalani/ Ndalani Block I/ 184","district of Machakos","Land Title Deed","21August2015","Ndalani/Ndalani Block I/184","Aug2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3205","Machakos",6479,2014-05-30,"GAZETTENOTICENO3618","Unknown","Ndalani/ Ndalani Block I/ 406 and 835","district of Machakos","Land Title Deed","30May2014","Ndalani/Ndalani Block I/406 and 835","May2014",TRUE,-1.5176837,37.2634146,"Machakos","Apr - Aug, 2014",0
"3206","Machakos",6296,2015-05-29,"GAZETTENOTICENO3842","Lost","Ndalani/ Ndalani Block I/ 576","district of Machakos","Land Title Deed","29May2015","Ndalani/Ndalani Block I/576","May2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3207","Machakos",2725,2015-11-13,"GAZETTENOTICENO8528","Lost","Ndalani/ Ndalani Phase I/ 530","district of Machakos","Land Title Deed","13November2015","Ndalani/Ndalani Phase I/530","Nov2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3208","Machakos",5632,2014-09-26,"GAZETTENOTICENO6726-6784","Lost","Ndithini/ Mananja Block 5/ 116","district of Machakos","Land Title Deed","26September2014","Ndithini/Mananja Block 5/116","Sep2014",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2014",1
"3209","Machakos",3241,2015-10-16,"GAZETTENOTICENO7745","Lost","Wamunyu/ Kyamatula/ 15","district of Machakos","Land Title Deed","16October2015","Wamunyu/Kyamatula/15","Oct2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3210","Machakos",3240,2015-10-16,"GAZETTENOTICENO7744","Lost","Wamunyu/ Kyamatula/ 16","district of Machakos","Land Title Deed","16October2015","Wamunyu/Kyamatula/16","Oct2015",TRUE,-1.5176837,37.2634146,"Machakos","Sep - Dec, 2015",1
"3211","Machakos",873,2015-06-05,"GAZETTENOTICENO4073","Lost","Yatta/ Ekalakala/ 4417","district of Machakos","Green Card","05June2015","Yatta/Ekalakala/4417","Jun2015",TRUE,-1.5176837,37.2634146,"Machakos","May - Aug, 2015",1
"3212","Machakos",1066,2015-03-06,"GAZETTENOTICENO1471-1517","Lost","Yatta/ Mathingau/ 2541","district of Machakos","Land Title Deed","06March2015","Yatta/Mathingau/2541","Mar2015",TRUE,-1.5176837,37.2634146,"Machakos","Jan - Apr, 2015",1
"3213","Makueni",5660,2014-09-26,"GAZETTENOTICENO6726-6784","Unknown","Makindu/ Kisingo/ 440","district of Makueni","Land Title Deed","26September2014","Makindu/Kisingo/440","Sep2014",TRUE,-2.1545005,37.7736693,"Makueni","Sep - Dec, 2014",0
"3214","Makueni",4582,2016-04-22,"GAZETTENOTICENO2790","Lost","Makueni/ Kikumini/ 1102","district of Makueni","Land Title Deed","22April2016","Makueni/Kikumini/1102","Apr2016",TRUE,-2.1545005,37.7736693,"Makueni","Jan - May, 2016",1
"3215","Makueni",1145,2016-05-06,"GAZETTENOTICENO3213","Lost","Makueni/ Kisingo/ 246","district of Makueni","Land Title Deed","06May2016","Makueni/Kisingo/246","May2016",TRUE,-2.1545005,37.7736693,"Makueni","Jan - May, 2016",1
"3216","Makueni",6368,2015-04-30,"GAZETTENOTICENO2941","Lost","Makueni/ Kivani/ 443","district of Makueni","Land Title Deed","30April2015","Makueni/Kivani/443","Apr2015",TRUE,-2.1545005,37.7736693,"Makueni","Jan - Apr, 2015",1
"3217","Makueni",6613,2015-12-31,"GAZETTENOTICENO9618","Lost","Makueni/ Mubau/ 287","district of Makueni","Land Title Deed","31December2015","Makueni/Mubau/287","Dec2015",TRUE,-2.1545005,37.7736693,"Makueni","Sep - Dec, 2015",1
"3218","Makueni",909,2014-09-05,"GAZETTENOTICENO6150","Lost","Makueni/ Unoa/ 2732","district of Makueni","Land Title Deed","05September2014","Makueni/Unoa/2732","Sep2014",TRUE,-2.1545005,37.7736693,"Makueni","Sep - Dec, 2014",1
"3219","Makueni",2360,2016-02-12,"GAZETTENOTICENO768","Unknown","Mbitini/ Maatha/ 306 and 590","district of Makueni","Land Title Deed","12February2016","Mbitini/Maatha/306 and 590","Feb2016",TRUE,-2.1545005,37.7736693,"Makueni","Jan - May, 2016",0
"3220","Makueni",534,2014-07-04,"GAZETTENOTICENO4519","Lost","Nzaui/ Mumbuni/ 134","district of Makueni","Land Title Deed","04July2014","Nzaui/Mumbuni/134","Jul2014",TRUE,-2.1545005,37.7736693,"Makueni","Apr - Aug, 2014",1
"3221","Makueni",2939,2014-11-14,"GAZETTENOTICENO8179-8268","Lost","Sultan Hamud/ 182","district of Makueni","Land Title Deed","14November2014","Sultan Hamud/182","Nov2014",TRUE,-2.1545005,37.7736693,"Makueni","Sep - Dec, 2014",1
"3222","Malindi",347,2015-10-02,"GAZETTENOTICENO7319","Unknown","Chembe/ Kibabamshe/ 362","district of Malindi","other","02October2015","Chembe/Kibabamshe/362","Oct2015",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2015",0
"3223","Malindi",4226,2015-11-20,"GAZETTENOTICENO8677","Unknown","Chembe/ Kibabamshe/ 404","district of Malindi","other","20November2015","Chembe/Kibabamshe/404","Nov2015",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2015",0
"3224","Malindi",2522,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","Chembe/ Kibambamshe/ 147","district of Malindi","Land Title Deed","12September2014","Chembe/Kibambamshe/147","Sep2014",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2014",1
"3225","Malindi",503,2014-10-03,"GAZETTENOTICENO6910","Lost","Chembe/ Kibambamshe/ 403","district of Malindi","Land Title Deed","03October2014","Chembe/Kibambamshe/403","Oct2014",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2014",1
"3226","Malindi",5724,2015-02-27,"GAZETTENOTICENO1242","Lost","Gede/ Dabaso/ 342","district of Malindi","Land Title Deed","27February2015","Gede/Dabaso/342","Feb2015",TRUE,-3.2191864,40.1168906,"Kilifi","Jan - Apr, 2015",1
"3227","Malindi",4118,2015-03-20,"GAZETTENOTICENO1815-1908","Lost","Gede/ Dabaso/ 480","district of Malindi","Land Title Deed","20March2015","Gede/Dabaso/480","Mar2015",TRUE,-3.2191864,40.1168906,"Kilifi","Jan - Apr, 2015",1
"3228","Malindi",1215,2015-11-06,"GAZETTENOTICENO8242","Lost","Gede/ Dabaso/ 89","district of Malindi","Land Title Deed","06November2015","Gede/Dabaso/89","Nov2015",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2015",1
"3229","Malindi",5365,2014-10-24,"GAZETTENOTICENO7628","Lost","Gede/ Mida/ Majaoni/ 477","district of Malindi","Land Title Deed","24October2014","Gede/Mida/Majaoni/477","Oct2014",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2014",1
"3230","Malindi",1548,2016-04-08,"GAZETTENOTICENO2408","Lost","Gede/ Mida/ Majaoni/ 522","district of Malindi","Land Title Deed","08April2016","Gede/Mida/Majaoni/522","Apr2016",TRUE,-3.2191864,40.1168906,"Kilifi","Jan - May, 2016",1
"3231","Malindi",2521,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","Gede/ Mijomboni/ 1016","district of Malindi","Land Title Deed","12September2014","Gede/Mijomboni/1016","Sep2014",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2014",1
"3232","Malindi",2520,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","Gede/ Mijomboni/ 1017","district of Malindi","Land Title Deed","12September2014","Gede/Mijomboni/1017","Sep2014",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2014",1
"3233","Malindi",4103,2015-03-20,"GAZETTENOTICENO1815-1908","Lost","Gede/ Mijomboni/ 119","district of Malindi","Land Title Deed","20March2015","Gede/Mijomboni/119","Mar2015",TRUE,-3.2191864,40.1168906,"Kilifi","Jan - Apr, 2015",1
"3234","Malindi",6768,2014-10-31,"GAZETTENOTICENO7806","Lost","Gede/ Mijomboni/ 172","district of Malindi","Land Title Deed","31October2014","Gede/Mijomboni/172","Oct2014",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2014",1
"3235","Malindi",642,2015-09-04,"GAZETTENOTICENO6493-6575","Lost","Gede/ Mijomboni/ 375","district of Malindi","Land Title Deed","04September2015","Gede/Mijomboni/375","Sep2015",TRUE,-3.2191864,40.1168906,"Kilifi","Sep - Dec, 2015",1
